date,nav,div
2021-07-06,19455,0
2021-07-07,19318,0
2021-07-08,19403,0
2021-07-09,19102,0
2021-07-12,19378,0
2021-07-13,19486,0
2021-07-14,19449,0
2021-07-15,19330,0
2021-07-16,19236,0
2021-07-19,19108,0
2021-07-20,18739,0
2021-07-21,19045,0
2021-07-26,19584,0
2021-07-27,19570,0
2021-07-28,19402,0
2021-07-29,19426,0
2021-07-30,19487,0
2021-08-02,19403,0
2021-08-03,19361,0
2021-08-04,19426,0
2021-08-05,19492,0
2021-08-06,19638,0
2021-08-10,19703,0
2021-08-11,19777,0
2021-08-12,19779,0
2021-08-13,19843,0
2021-08-16,19727,0
